year,owner_type2,parcels,median_value,median_value_adj
2004,City of Milwaukee landlord,16904,62000,96931.37109581789
2004,outside WI landlord,1303,79100,123665.66860772893
2004,owner occupied,106559,104500,163376.26257278983
2004,rest of Wisconsin landlord,1057,76600,119757.14557967176
2004,suburbs landlord,7654,83800,131013.69190047642
2004,NA,8,75650,118271.90682901004
2005,bank,80,74550,113663.92565823438
2005,City of Milwaukee,123,43600,66475.48167268973
2005,City of Milwaukee landlord,16822,73300,111758.0918946825
2005,outside WI landlord,1246,92750,141412.8652555498
2005,owner occupied,107339,117600,179300.84047496127
2005,rest of Wisconsin landlord,991,90200,137524.96437790396
2005,suburbs landlord,7670,99950,152390.46773360868
2005,NA,5,140700,214520.6484254001
2006,bank,215,91500,133907.39345887015
2006,City of Milwaukee,79,49400,72295.35777998017
2006,City of Milwaukee landlord,17287,89000,130248.72150644202
2006,outside WI landlord,1437,107200,156883.8533201189
2006,owner occupied,106348,131800,192885.18533201187
2006,rest of Wisconsin landlord,1033,111900,163762.15659068382
2006,suburbs landlord,8454,112650,164859.75817641226
2006,NA,6,130050,190324.11496531218
2007,bank,392,99000,141084.33944236947
2007,City of Milwaukee,61,62100,88498.35837748631
2007,City of Milwaukee landlord,17638,90800,129398.56587239543
2007,outside WI landlord,1940,112200,159895.58470135205
2007,owner occupied,106021,132800,189252.52806006733
2007,rest of Wisconsin landlord,1160,113050,161106.91488848353
2007,suburbs landlord,8537,117600,167591.0941254813
2007,NA,4,185550,264426.2543791076
2008,bank,1145,104000,141238.3347971839
2008,City of Milwaukee,95,70600,95879.10035270368
2008,City of Milwaukee landlord,17849,98500,133768.9997838713
2008,outside WI landlord,2332,115500,156856.0352795648
2008,owner occupied,104874,133600,181436.93777792083
2008,rest of Wisconsin landlord,1299,112800,153189.27081848407
2008,suburbs landlord,8850,120300,163374.72765481943
2008,NA,5,218900,297279.53352984186
2009,bank,837,89500,123059.06233995996
2009,City of Milwaukee,198,58250,80091.51264025326
2009,City of Milwaukee landlord,18780,85400,117421.71981935843
2009,outside WI landlord,2450,103650,142514.76884398714
2009,owner occupied,103208,123900,170357.74104939707
2009,rest of Wisconsin landlord,1455,100700,138458.63215233485
2009,suburbs landlord,9801,104100,143133.50155966292
2009,NA,4,235100,323253.4699008333
2010,bank,1224,92200,125365.40960133332
2010,City of Milwaukee,391,54800,74512.19572834128
2010,City of Milwaukee landlord,19109,80700,109728.72619118872
2010,outside WI landlord,2754,98700,134203.53500706723
2010,owner occupied,101580,119600,162621.50746550396
2010,rest of Wisconsin landlord,1593,97100,132027.99644565582
2010,suburbs landlord,10185,98100,133387.70804653794
2010,NA,4,229050,311441.94218205416
2011,bank,1315,96000,126115.35279307491
2011,City of Milwaukee,218,52100,68443.85292207502
2011,City of Milwaukee landlord,19593,81000,106409.82891915695
2011,outside WI landlord,3064,98700,129662.34709038014
2011,owner occupied,99732,120200,157906.93130966253
2011,rest of Wisconsin landlord,1662,94950,124735.96612190065
2011,suburbs landlord,10817,98600,129530.97693122068
2011,NA,7,197600,259587.4344990792
2012,bank,1161,82500,106617.07304265634
2012,City of Milwaukee,334,40150,51886.97554742609
2012,City of Milwaukee landlord,20077,66100,85422.89124993436
2012,outside WI landlord,3687,87500,113078.71383312036
2012,owner occupied,97343,103300,133497.49873098667
2012,rest of Wisconsin landlord,1927,80200,103644.71827904289
2012,suburbs landlord,11659,83400,107780.16838493987
2012,NA,17,62000,80124.34580175385
2013,bank,1146,75400,95797.84981393447
2013,City of Milwaukee,585,39600,50312.92907999742
2013,City of Milwaukee landlord,20099,62500,79408.03200757169
2013,outside WI landlord,3811,82500,104818.60224999463
2013,owner occupied,95648,100300,127434.00976575103
2013,rest of Wisconsin landlord,2125,74100,94146.16274817698
2013,suburbs landlord,12219,80300,102023.4395233281
2013,NA,27,58400,74198.86510787498
2014,bank,1072,72650,90441.71798795267
2014,City of Milwaukee,439,39100,48675.44629496145
2014,City of Milwaukee landlord,20209,59600,74195.82095088753
2014,outside WI landlord,3969,77500,96479.46516264738
2014,owner occupied,94685,101400,126232.48732248315
2014,rest of Wisconsin landlord,2240,69000,85897.84640287315
2014,suburbs landlord,12544,78600,97848.85111979464
2014,NA,27,52700,65606.03631060022
2015,bank,893,71900,89347.60263741441
2015,City of Milwaukee,449,34800,43244.73674244815
2015,City of Milwaukee landlord,20629,57700,71701.7617827373
2015,outside WI landlord,4399,76000,94442.52851799021
2015,owner occupied,93390,101500,126130.48216547376
2015,rest of Wisconsin landlord,2346,70950,88167.07103093955
2015,suburbs landlord,12988,77100,95809.45985180323
2015,NA,42,68150,84687.60945396096
2016,bank,710,72800,89500.03913047098
2016,City of Milwaukee,424,35100,43151.80458076279
2016,City of Milwaukee landlord,20976,57400,70567.33854517904
2016,outside WI landlord,4579,76000,93434.1067845576
2016,owner occupied,92467,103400,127119.56107267443
