year,city_nhood,parcels,own_ocp,landlord,median_value,median_value_adj,pct_own_ocp,pct_landlord
1990,ALCOTT PARK,468,441,27,77450,160263.8180760279,94.23076923076923,5.769230769230769
1990,ALVERNO,52,44,8,73350,151779.87160589604,84.61538461538461,15.384615384615385
1990,ARLINGTON GARDENS,735,684,51,57400,118775.25058184638,93.06122448979592,6.938775510204081
1990,ARLINGTON HEIGHTS,1256,931,323,28800,59594.550814584945,74.12420382165605,25.716560509554142
1990,AVENUES WEST,279,94,182,21100,43661.28549262994,33.691756272401435,65.23297491039428
1990,BARAN PARK,95,80,15,38700,80080.17765709852,84.21052631578947,15.789473684210526
1990,BAY VIEW,5296,4371,921,50900,105325.09154383242,82.53398791540786,17.3904833836858
1990,BLUEMOUND HEIGHTS,1045,874,171,53500,110705.155159038,83.63636363636363,16.363636363636363
1990,BORCHERT FIELD,1104,680,410,20600,42626.65787432117,61.59420289855072,37.13768115942029
1990,BRADLEY ESTATES,1002,849,150,53000,109670.52754072924,84.73053892215569,14.97005988023952
1990,BREWER'S HILL,351,162,186,15200,31452.6795965865,46.15384615384615,52.991452991452995
1990,BRYNWOOD,1,0,1,47200,97668.84716834755,0,100
1990,BUCHEL PARK,13,13,0,80000,165540.41892940263,100,0
1990,BURNHAM PARK,1454,1195,257,46500,96220.36850271527,82.18707015130674,17.67537826685007
1990,CALUMET FARMS,231,182,49,87100,180232.1311093871,78.78787878787878,21.21212121212121
1990,CAMBRIDGE HEIGHTS,474,355,119,75300,155814.91931730023,74.89451476793249,25.105485232067508
1990,CANNON PARK,467,437,30,66900,138433.17532971295,93.57601713062098,6.423982869379015
1990,CAPITOL HEIGHTS,1660,1478,181,48400,100151.95345228858,89.03614457831324,10.903614457831326
1990,CASTLE MANOR,742,689,53,72600,150227.93017843287,92.85714285714286,7.142857142857142
1990,CLARKE SQUARE,1009,653,353,33300,68906.19937936384,64.7175421209118,34.98513379583746
1990,CLAYTON CREST,521,493,28,91800,189957.63072148952,94.6257197696737,5.3742802303262955
1990,CLOCK TOWER ACRES,314,184,128,20800,43040.50892164468,58.59872611464968,40.76433121019109
1990,COLD SPRING PARK,277,152,123,33900,70147.75252133436,54.87364620938629,44.4043321299639
1990,COLLEGE HEIGHTS,374,362,12,62300,128914.60124127229,96.79144385026738,3.2085561497326207
1990,COLUMBUS PARK,1128,1041,87,53400,110498.22963537625,92.2872340425532,7.712765957446808
1990,CONCORDIA,165,116,47,38200,79045.55003878975,70.3030303030303,28.484848484848484
1990,COOPER PARK,1225,1132,93,59500,123120.6865787432,92.40816326530611,7.591836734693877
1990,COPERNICUS PARK,461,431,30,76100,157470.32350659423,93.49240780911063,6.507592190889371
1990,DINEEN PARK,918,779,137,46450,96116.9057408844,84.85838779956427,14.923747276688454
1990,DOWNER WOODS,645,532,111,134800,278935.6058960434,82.48062015503876,17.209302325581397
1990,DRETZKA PARK,14,11,3,76500,158298.02560124127,78.57142857142857,21.428571428571427
1990,ENDERIS PARK,969,890,79,71200,147330.97284716833,91.84726522187823,8.152734778121776
1990,ESTABROOK PARK,10,5,5,39350,81425.1935608999,50,50
1990,EUCLID PARK,432,410,22,76900,159125.72769588826,94.9074074074074,5.092592592592593
1990,FAIR PARK,422,344,78,49450,102324.67145073699,81.51658767772511,18.48341232227488
1990,FAIRFIELD,340,289,50,33750,69837.36423584173,85,14.705882352941178
1990,FAIRVIEW,1425,1313,112,62900,130156.15438324281,92.14035087719297,7.859649122807018
1990,FERNWOOD,1092,957,135,58400,120844.5058184639,87.63736263736264,12.362637362637363
1990,FLORIST HIGHLANDS,256,200,56,77900,161194.9829325058,78.125,21.875
1990,FOREST HOME HILLS,836,567,266,34900,72217.0077579519,67.82296650717703,31.818181818181817
1990,FRANKLIN HEIGHTS,2315,1650,645,26800,55456.04034134988,71.2742980561555,27.861771058315334
1990,FREEDOM VILLAGE,14,14,0,64850,134191.202094647,100,0
1990,GARDEN HOMES,601,490,111,34600,71596.23118696663,81.53078202995009,18.469217970049918
1990,GOLDEN GATE,266,259,7,85200,176300.5461598138,97.36842105263158,2.631578947368421
1990,GOLDEN VALLEY,1133,1061,72,57100,118154.47401086111,93.64518976169461,6.354810238305383
1990,GOLDMAN PARK,526,504,22,71400,147744.82389449183,95.81749049429658,4.182509505703422
1990,GRA-RAM,498,469,29,71350,147641.36113266094,94.17670682730925,5.8232931726907635
1990,GRACELAND,783,665,118,49000,101393.5065942591,84.92975734355045,15.070242656449553
1990,GRANTOSA,364,309,55,65300,135122.3669511249,84.89010989010988,15.10989010989011
1990,GRANVILLE STATION,249,173,76,37000,76562.44375484872,69.47791164658635,30.522088353413658
1990,GRANVILLE WOODS,3,1,2,54800,113395.18696664079,33.33333333333333,66.66666666666666
1990,GRASSLYN MANOR,1585,1324,260,49200,101807.35764158261,83.53312302839116,16.40378548895899
1990,GREEN MOOR,208,197,11,69550,143916.7017067494,94.71153846153845,5.288461538461538
1990,GROVER HEIGHTS,108,74,34,27600,57111.4445306439,68.51851851851852,31.48148148148148
1990,HALYARD PARK,103,65,38,18500,38281.22187742436,63.10679611650486,36.89320388349515
1990,HAMPTON HEIGHTS,2133,1791,340,38500,79666.32660977502,83.96624472573839,15.939990623534928
1990,HARAMBEE,2761,1399,1353,20100,41592.03025601241,50.670047084389715,49.00398406374502
1990,HARBOR VIEW,9,4,5,17200,35591.19006982156,44.44444444444444,55.55555555555556
1990,HARDER'S OAKS,149,141,8,77300,159953.42979053527,94.63087248322147,5.369127516778524
