year,city_nhood,parcels,own_ocp,landlord,median_value,median_value_adj,pct_own_ocp,pct_landlord
1991,TRIPOLI PARK,234,222,12,60900,136058.21250000002,94.87179487179486,5.128205128205128
1991,UPPER EAST SIDE,855,667,188,113200,252902.95,78.01169590643275,21.98830409356725
1991,UPTOWN,1483,1043,439,42900,95843.96250000001,70.3304113283884,29.602157788267025
1991,VALHALLA,565,478,87,49700,111036.01250000001,84.60176991150442,15.398230088495577
1991,VALLEY FORGE,54,53,1,73300,163761.36250000002,98.14814814814815,1.8518518518518516
1991,VETERANS AFFAIRS,1,1,0,52400,117068.15000000001,100,0
1991,VOGEL PARK,371,313,58,54500,121759.81250000001,84.36657681940702,15.633423180592992
1991,WAHL PARK,857,709,147,36500,81545.5625,82.73045507584598,17.152858809801632
1991,WALKER'S POINT,1233,757,474,24700,55182.887500000004,61.394971613949714,38.44282238442822
1991,WALNUT HILL,567,206,350,20800,46469.8,36.33156966490299,61.72839506172839
1991,WASHINGTON HEIGHTS,1994,1633,359,53400,119302.27500000001,81.89568706118355,18.004012036108325
1991,WASHINGTON PARK,1199,465,724,30700,68587.6375,38.78231859883236,60.3836530442035
1991,WEDGEWOOD,477,445,32,82800,184985.55000000002,93.29140461215934,6.7085953878406714
1991,WEST VIEW,369,330,39,69400,155048.27500000002,89.43089430894308,10.569105691056912
1991,WHISPERING HILLS,213,205,8,54500,121759.81250000001,96.24413145539906,3.755868544600939
1991,WHITE MANOR,580,560,20,59550,133042.14375,96.55172413793103,3.4482758620689653
1991,WICK FIELD,160,138,22,46050,102881.45625000002,86.25,13.750000000000002
1991,WILLIAMSBURG,657,449,206,27700,61885.262500000004,68.34094368340944,31.35464231354642
1991,WILSON PARK,632,576,56,70700,157952.6375,91.13924050632912,8.860759493670885
1991,WOODLAND COURT,144,128,16,72500,161974.0625,88.88888888888889,11.11111111111111
1991,WYRICK PARK,238,201,37,46000,102769.75,84.45378151260505,15.546218487394958
1991,YANKEE HILL,178,64,113,23000,51384.875,35.95505617977528,63.48314606741573
1991,NA,6,4,2,30900,69034.46250000001,66.66666666666666,33.33333333333333
1992,ALCOTT PARK,478,452,25,85950,186403.52569593152,94.56066945606695,5.230125523012552
1992,ALVERNO,53,45,8,87300,189331.32976445399,84.90566037735849,15.09433962264151
1992,ARLINGTON GARDENS,735,685,50,59900,129907.75089221986,93.19727891156462,6.802721088435375
1992,ARLINGTON HEIGHTS,1259,910,346,27900,60507.950749464675,72.27958697378872,27.482128673550438
1992,AVENUES WEST,276,94,181,21500,46627.990720913636,34.05797101449276,65.57971014492753
1992,BARAN PARK,94,82,12,40350,87508.81049250536,87.2340425531915,12.76595744680851
1992,BAY VIEW,5286,4343,940,58100,126004.01213418988,82.16042376087779,17.782822550132426
1992,BLUEMOUND HEIGHTS,1045,879,166,60000,130124.62526766596,84.11483253588517,15.885167464114833
1992,BORCHERT FIELD,1078,651,421,19700,42724.25196288366,60.3896103896104,39.05380333951762
1992,BRADLEY ESTATES,992,838,153,57400,124485.8915060671,84.4758064516129,15.423387096774194
1992,BREWER'S HILL,343,161,182,15600,33832.40256959315,46.93877551020408,53.06122448979592
1992,BRYNWOOD,1,0,1,51700,112124.05210563884,0,100
1992,BUCHEL PARK,13,13,0,79600,172632.00285510352,100,0
1992,BURNHAM PARK,1454,1199,254,47700,103449.07708779445,82.46217331499312,17.46905089408528
1992,CALUMET FARMS,243,199,44,96900,210151.26980728054,81.89300411522635,18.106995884773664
1992,CAMBRIDGE HEIGHTS,474,344,130,78800,170897.00785153464,72.57383966244726,27.42616033755274
1992,CANNON PARK,468,436,32,73150,158643.6056388294,93.16239316239316,6.837606837606838
1992,CAPITOL HEIGHTS,1659,1463,195,49400,107135.94147037831,88.18565400843882,11.754068716094032
