year,owner_type2,aldermanic,parcels,median_value,median_value_adj
1998,bank,1,13,39100,72974.09766584767
1998,bank,10,6,51300,95743.50921375921
1998,bank,11,3,91300,170397.31756756757
1998,bank,12,13,36100,67375.06203931203
1998,bank,13,4,76850,143428.6292997543
1998,bank,14,9,69000,128777.81941031941
1998,bank,15,22,28450,53097.52119164619
1998,bank,2,5,68000,126911.4742014742
1998,bank,3,3,44700,83425.63083538084
1998,bank,4,2,67000,125045.12899262899
1998,bank,6,14,23450,43765.79514742015
1998,bank,7,21,35200,65695.35135135135
1998,bank,8,12,53550,99942.78593366093
1998,bank,9,5,22000,41059.59459459459
1998,outside WI landlord,1,171,41900,78199.86425061425
1998,outside WI landlord,10,73,70800,132137.24078624079
1998,outside WI landlord,11,45,106300,198392.4957002457
1998,outside WI landlord,12,80,33200,61962.66093366093
1998,outside WI landlord,13,44,94050,175529.7668918919
1998,outside WI landlord,14,75,78500,146508.0988943489
1998,outside WI landlord,15,155,25300,47218.53378378378
1998,outside WI landlord,2,67,53400,99662.83415233415
1998,outside WI landlord,3,84,101950,190273.89404176903
1998,outside WI landlord,4,46,46800,87344.95577395576
1998,outside WI landlord,5,93,81300,151733.86547911548
1998,outside WI landlord,6,153,25100,46845.26474201474
1998,outside WI landlord,7,146,50150,93597.21222358722
1998,outside WI landlord,8,53,48300,90144.47358722359
1998,outside WI landlord,9,102,46600,86971.68673218673
1998,outside WI landlord,NA,1,24000,44792.285012285014
1998,owner occupied,1,8244,42300,78946.40233415233
1998,owner occupied,10,8489,74300,138669.44901719902
1998,owner occupied,11,10328,99400,185514.71375921374
1998,owner occupied,12,3901,37300,69614.67628992628
1998,owner occupied,13,9580,93700,174876.54606879607
1998,owner occupied,14,9501,81000,151173.9619164619
1998,owner occupied,15,4393,23300,43485.843366093366
1998,owner occupied,2,8066,59300,110674.27088452088
1998,owner occupied,3,4206,114500,213696.5264127764
1998,owner occupied,4,826,62600,116833.21007371007
1998,owner occupied,5,10237,81700,152480.40356265355
1998,owner occupied,6,5342,27300,50951.2242014742
1998,owner occupied,7,8395,48700,90891.01167076167
1998,owner occupied,8,5476,56200,104888.60073710073
1998,owner occupied,9,6705,75800,141468.96683046682
1998,owner occupied,NA,2,37950,70827.80067567568
1998,rest of Wisconsin landlord,1,96,40000,74653.80835380836
1998,rest of Wisconsin landlord,10,87,70900,132323.8753071253
1998,rest of Wisconsin landlord,11,44,110400,206044.51105651105
1998,rest of Wisconsin landlord,12,116,34700,64762.178746928745
1998,rest of Wisconsin landlord,13,42,93650,174783.22880835383
1998,rest of Wisconsin landlord,14,110,76550,142868.72573710076
1998,rest of Wisconsin landlord,15,112,22400,41806.13267813268
1998,rest of Wisconsin landlord,2,65,57300,106941.58046683046
1998,rest of Wisconsin landlord,3,65,98400,183648.36855036856
1998,rest of Wisconsin landlord,4,15,38300,71481.0214987715
1998,rest of Wisconsin landlord,5,70,80450,150147.47205159705
1998,rest of Wisconsin landlord,6,90,27250,50857.906941031935
1998,rest of Wisconsin landlord,7,99,46800,87344.95577395578
1998,rest of Wisconsin landlord,8,113,54300,101342.54484029484
1998,rest of Wisconsin landlord,9,54,63600,118699.55528255529
1998,suburbs landlord,1,541,40100,74840.44287469288
1998,suburbs landlord,10,629,72400,135123.39312039313
1998,suburbs landlord,11,329,120100,224148.0595823096
1998,suburbs landlord,12,652,36450,68028.28286240785
1998,suburbs landlord,13,232,98000,182901.83046683046
1998,suburbs landlord,14,592,76150,142122.18765356264
1998,suburbs landlord,15,665,23600,44045.74692874693
1998,suburbs landlord,2,433,60900,113660.42321867321
1998,suburbs landlord,3,368,100600,187754.328009828
1998,suburbs landlord,4,122,33000,61589.39189189189
1998,suburbs landlord,5,497,89000,166104.7235872236
1998,suburbs landlord,6,488,23100,43112.57432432433
1998,suburbs landlord,7,628,48450,90424.42536855036
1998,suburbs landlord,8,543,50900,94996.97113022114
1998,suburbs landlord,9,538,53700,100222.73771498771
1998,NA,10,2,73500,137176.37285012286
1998,NA,11,1,105700,197272.68857493857
1998,NA,12,3,33200,61962.66093366093
1998,NA,14,1,134000,250090.25798525798
1998,NA,15,1,13500,25195.66031941032
1998,NA,2,1,63600,118699.55528255529
1998,NA,3,1,204900,382414.1332923833
1998,NA,4,3,74100,138296.17997543
1998,NA,8,1,106600,198952.39926289927
1999,City of Milwaukee,1,8,38500,70469.14759036145
1999,City of Milwaukee,10,4,54150,99114.3984939759
1999,City of Milwaukee,12,6,39100,71567.36807228916
1999,City of Milwaukee,14,1,106300,194568.06204819278
1999,City of Milwaukee,15,43,17000,31116.246987951807
1999,City of Milwaukee,2,3,83100,152103.53674698796
1999,City of Milwaukee,4,2,29950,54819.50572289157
1999,City of Milwaukee,6,34,21050,38529.235240963855
1999,City of Milwaukee,7,29,25400,46491.333734939755
1999,City of Milwaukee,8,2,33500,61317.31024096385
1999,City of Milwaukee,9,3,23700,43379.70903614458
1999,City of Milwaukee landlord,1,1561,40200,73580.77228915662
1999,City of Milwaukee landlord,10,869,62100,113665.81987951807
1999,City of Milwaukee landlord,11,422,118650,217173.10030120483
1999,City of Milwaukee landlord,12,1580,33300,60951.236746987954
1999,City of Milwaukee landlord,13,389,100300,183585.85722891567
1999,City of Milwaukee landlord,14,1065,76700,140389.18493975903
1999,City of Milwaukee landlord,15,3044,19400,35509.12891566265
1999,City of Milwaukee landlord,2,691,56800,103964.87228915663
1999,City of Milwaukee landlord,3,994,98000,179376.01204819276
1999,City of Milwaukee landlord,4,346,37600,68821.81686746988
1999,City of Milwaukee landlord,5,436,87650,160431.70873493975
1999,City of Milwaukee landlord,6,2960,23300,42647.56204819277
1999,City of Milwaukee landlord,7,2026,40800,74678.99277108433
1999,City of Milwaukee landlord,8,982,48750,89230.4141566265
1999,City of Milwaukee landlord,9,513,37400,68455.74337349397
1999,City of Milwaukee landlord,NA,1,58200,106527.38674698795
1999,bank,1,17,32300,59120.86927710843
1999,bank,10,2,49950,91426.85512048192
1999,bank,11,1,80400,147161.54457831325
1999,bank,12,13,38500,70469.14759036145
1999,bank,13,1,85900,157228.5656626506
1999,bank,14,10,51500,94263.92469879518
1999,bank,15,39,23300,42647.56204819277
1999,bank,2,14,40200,73580.77228915662
1999,bank,3,3,44700,81817.42590361445
1999,bank,4,1,32100,58754.795783132526
1999,bank,5,5,132700,242889.76325301203
1999,bank,6,23,29900,54727.98734939759
1999,bank,7,20,35000,64062.86144578313
1999,bank,8,8,44350,81176.79728915662
1999,bank,9,6,39000,71384.3313253012
1999,outside WI landlord,1,152,40300,73763.80903614458
1999,outside WI landlord,10,72,68650,125654.7268072289
1999,outside WI landlord,11,39,111100,203353.82590361446
1999,outside WI landlord,12,81,34000,62232.49397590361
1999,outside WI landlord,13,52,92550,169400.5093373494
1999,outside WI landlord,14,70,81650,149449.50391566264
1999,outside WI landlord,15,180,28000,51250.2891566265
1999,outside WI landlord,2,79,53000,97009.47590361445
1999,outside WI landlord,3,76,97300,178094.7548192771
1999,outside WI landlord,4,48,49300,90237.11626506023
1999,outside WI landlord,5,91,82300,150639.24277108433
1999,outside WI landlord,6,179,25100,45942.2234939759
1999,outside WI landlord,7,161,45200,82732.60963855422
1999,outside WI landlord,8,56,52900,96826.4391566265
1999,outside WI landlord,9,104,45550,83373.23825301204
1999,owner occupied,1,8169,42500,77790.61746987952
1999,owner occupied,10,8501,74600,136545.41325301206
1999,owner occupied,11,10343,99700,182487.63674698796
1999,owner occupied,12,3852,37300,68272.70662650603
1999,owner occupied,13,9589,93900,171871.50542168674
1999,owner occupied,14,9501,81100,148442.8018072289
1999,owner occupied,15,4430,23600,43196.672289156624
1999,owner occupied,2,8037,59600,109089.90120481928
1999,owner occupied,3,4193,115500,211407.44277108434
1999,owner occupied,4,821,64900,118790.84879518072
1999,owner occupied,5,10246,82200,150456.20602409638
1999,owner occupied,6,5287,27500,50335.10542168675
1999,owner occupied,7,8345,49000,89688.00602409638
1999,owner occupied,8,5440,56500,103415.76204819277
1999,owner occupied,9,6718,76000,139107.92771084336
1999,owner occupied,NA,3,32400,59303.90602409638
1999,rest of Wisconsin landlord,1,151,40800,74678.99277108433
1999,rest of Wisconsin landlord,10,86,73250,134074.4171686747
1999,rest of Wisconsin landlord,11,48,110150,201614.97680722893
1999,rest of Wisconsin landlord,12,122,36250,66350.82078313254
1999,rest of Wisconsin landlord,13,46,95400,174617.05662650603
1999,rest of Wisconsin landlord,14,91,75600,138375.78072289156
1999,rest of Wisconsin landlord,15,120,23700,43379.70903614457
1999,rest of Wisconsin landlord,2,75,55200,101036.2843373494
1999,rest of Wisconsin landlord,3,72,102450,187521.14728915662
1999,rest of Wisconsin landlord,4,19,18700,34227.871686746985
1999,rest of Wisconsin landlord,5,71,79600,145697.25060240962
1999,rest of Wisconsin landlord,6,54,26600,48687.77469879518
1999,rest of Wisconsin landlord,7,85,44400,81268.3156626506
1999,rest of Wisconsin landlord,8,119,55300,101219.32108433735
1999,rest of Wisconsin landlord,9,51,67100,122817.65722891566
1999,suburbs landlord,1,547,40500,74129.88253012048
1999,suburbs landlord,10,632,72800,133250.75180722892
1999,suburbs landlord,11,341,120500,220559.2801204819
1999,suburbs landlord,12,672,36050,65984.74728915663
1999,suburbs landlord,13,230,97250,178003.2364457831
1999,suburbs landlord,14,613,76100,139290.96445783132
1999,suburbs landlord,15,639,24500,44844.00301204819
1999,suburbs landlord,2,452,61500,112567.59939759035
1999,suburbs landlord,3,397,101200,185233.18795180722
1999,suburbs landlord,4,135,35100,64245.898192771085
1999,suburbs landlord,5,490,89400,163634.8518072289
1999,suburbs landlord,6,482,23500,43013.635542168675
1999,suburbs landlord,7,665,48000,87857.63855421687
1999,suburbs landlord,8,553,50600,92616.59397590361
1999,suburbs landlord,9,579,58400,106893.46024096385
1999,NA,10,2,73500,134532.00903614456
1999,NA,11,1,105700,193469.84156626507
1999,NA,12,4,31050,56832.90993975903
1999,NA,15,1,13500,24709.960843373494
1999,NA,2,1,63600,116411.37108433734
1999,NA,3,2,76950,140846.77680722892
1999,NA,4,3,74100,135630.22951807227
1999,NA,7,1,54600,99938.06385542169
2000,City of Milwaukee,1,7,47100,83106.3362369338
2000,City of Milwaukee,10,6,48250,85135.4718350755
2000,City of Milwaukee,12,6,37250,65726.3487224158
2000,City of Milwaukee,14,1,45700,80636.08420441348
2000,City of Milwaukee,15,37,21500,37936.013356562136
2000,City of Milwaukee,2,1,99500,175564.34088269455
2000,City of Milwaukee,3,1,61500,108514.64285714286
2000,City of Milwaukee,4,1,23200,40935.60511033682
2000,City of Milwaukee,5,1,87700,154743.64518002325
2000,City of Milwaukee,6,28,23200,40935.60511033682
2000,City of Milwaukee,7,16,28900,50993.05981416957
2000,City of Milwaukee,9,1,58500,103221.2456445993
2000,City of Milwaukee landlord,1,1519,45900,80988.97735191639
2000,City of Milwaukee landlord,10,815,72600,128100.21254355401
2000,City of Milwaukee landlord,11,410,122900,216852.83914053428
2000,City of Milwaukee landlord,12,1603,36800,64932.33914053426
2000,City of Milwaukee landlord,13,383,106500,187915.60104529618
2000,City of Milwaukee landlord,14,1005,85700,151214.7137049942
2000,City of Milwaukee landlord,15,2849,23700,41817.83797909408
2000,City of Milwaukee landlord,2,681,63600,112220.02090592335
2000,City of Milwaukee landlord,3,1009,117500,207324.72415795588
2000,City of Milwaukee landlord,4,331,43800,77283.5993031359
2000,City of Milwaukee landlord,5,418,95300,168153.58478513357
2000,City of Milwaukee landlord,6,2836,29100,51345.952961672476
2000,City of Milwaukee landlord,7,1961,48100,84870.80197444832
2000,City of Milwaukee landlord,8,943,53000,93516.68408826945
2000,City of Milwaukee landlord,9,547,37000,65285.23228803717
2000,bank,1,16,51850,91487.54849012775
2000,bank,10,7,68500,120865.90301974448
2000,bank,11,3,108800,191973.87224157958
2000,bank,12,10,48550,85664.81155632986
2000,bank,13,1,86700,152979.17944250873
2000,bank,14,4,72000,127041.5331010453
2000,bank,15,40,49700,87693.94715447155
2000,bank,2,7,69800,123159.70847851336
2000,bank,3,5,61100,107808.85656213705
2000,bank,4,1,114000,201149.09407665505
2000,bank,5,11,94700,167094.90534262487
2000,bank,6,28,31400,55404.22415795587
2000,bank,7,17,48700,85929.48141695703
2000,bank,8,5,57500,101456.77990708478
2000,bank,9,8,50850,89723.08275261323
2000,outside WI landlord,1,152,45600,80459.63763066202
2000,outside WI landlord,10,66,80900,142745.27816492453
2000,outside WI landlord,11,35,103000,181739.97096399535
2000,outside WI landlord,12,77,35700,62991.4268292683
2000,outside WI landlord,13,44,100450,177240.58333333334
2000,outside WI landlord,14,70,85550,150950.04384436703
2000,outside WI landlord,15,202,33150,58492.039198606275
2000,outside WI landlord,2,77,58600,103397.69221835076
2000,outside WI landlord,3,65,131000,231145.01161440185
2000,outside WI landlord,4,45,44400,78342.27874564461
2000,outside WI landlord,5,95,90800,160213.48896631825
2000,outside WI landlord,6,170,31050,54786.661149825784
2000,outside WI landlord,7,152,50450,89017.29645760744
2000,outside WI landlord,8,58,52750,93075.56765389083
2000,outside WI landlord,9,105,41500,73225.3281068525
2000,owner occupied,1,8215,49500,87341.05400696864
2000,owner occupied,10,8546,84900,149803.14111498257
2000,owner occupied,11,10369,106400,187739.15447154472
2000,owner occupied,12,3863,41900,73931.11440185831
2000,owner occupied,13,9617,102300,180504.8449477352
2000,owner occupied,14,9564,89100,157213.89721254355
2000,owner occupied,15,4564,29400,51875.29268292683
2000,owner occupied,2,8077,67200,118572.09756097561
2000,owner occupied,3,4162,141000,248789.66898954706
2000,owner occupied,4,793,72400,127747.31939605111
2000,owner occupied,5,10284,89800,158449.02322880374
2000,owner occupied,6,5380,32800,57874.47619047619
2000,owner occupied,7,8383,57400,101280.33333333334
2000,owner occupied,8,5508,61300,108161.74970963996
2000,owner occupied,9,6710,83400,147156.4425087108
2000,owner occupied,NA,4,41850,73842.89111498257
2000,rest of Wisconsin landlord,1,132,47250,83371.00609756098
2000,rest of Wisconsin landlord,10,87,78500,138510.56039488968
2000,rest of Wisconsin landlord,11,50,123450,217823.29529616726
2000,rest of Wisconsin landlord,12,108,41650,73489.99796747968
2000,rest of Wisconsin landlord,13,38,99800,176093.6806039489
2000,rest of Wisconsin landlord,14,111,83600,147509.33565621372
2000,rest of Wisconsin landlord,15,83,26000,45876.10917537747
2000,rest of Wisconsin landlord,2,63,62200,109749.76887340302
2000,rest of Wisconsin landlord,3,65,122600,216323.49941927992
2000,rest of Wisconsin landlord,4,19,29600,52228.185830429735
2000,rest of Wisconsin landlord,5,68,85200,150332.48083623694
2000,rest of Wisconsin landlord,6,46,28500,50287.27351916376
2000,rest of Wisconsin landlord,7,79,51300,90517.09233449478
2000,rest of Wisconsin landlord,8,107,56200,99162.97444831592
2000,rest of Wisconsin landlord,9,52,65600,115748.9523809524
2000,suburbs landlord,1,553,46100,81341.87049941928
2000,suburbs landlord,10,633,82900,146274.20963995354
2000,suburbs landlord,11,331,128000,225851.6144018583
2000,suburbs landlord,12,646,39350,69431.72677119629
2000,suburbs landlord,13,236,107000,188797.83391405342
2000,suburbs landlord,14,593,87400,154214.30545876888
2000,suburbs landlord,15,662,28600,50463.72009291522
2000,suburbs landlord,2,448,67300,118748.54413472707
2000,suburbs landlord,3,419,122900,216852.83914053428
2000,suburbs landlord,4,141,40200,70931.52264808363
2000,suburbs landlord,5,490,98050,173005.86556329852
2000,suburbs landlord,6,492,29300,51698.84610917538
2000,suburbs landlord,7,688,54550,96251.60598141696
2000,suburbs landlord,8,533,53700,94751.81010452962
2000,suburbs landlord,9,547,68500,120865.90301974448
2000,NA,1,1,30500,53816.2049941928
2000,NA,11,1,112600,198678.84204413474
2000,NA,12,1,37400,65991.01858304297
2000,NA,15,1,16100,28407.898373983742
2000,NA,3,3,131900,232733.03077816495
2000,NA,4,2,152750,269522.1414053426
2000,NA,6,5,34200,60344.72822299652
2000,NA,7,1,65300,115219.61265969803
2000,NA,8,1,38000,67049.69802555168
2001,City of Milwaukee,1,11,38600,66000.35227912212
2001,City of Milwaukee,11,2,115250,197060.6373100732
2001,City of Milwaukee,12,10,37150,63521.06443444007
2001,City of Milwaukee,13,1,87800,150125.153629713
2001,City of Milwaukee,14,3,31800,54373.347214406305
2001,City of Milwaukee,15,65,24600,42062.400675295445
2001,City of Milwaukee,2,5,72000,123109.46539110862
2001,City of Milwaukee,4,5,50200,85834.65503657851
2001,City of Milwaukee,5,4,83950,143542.21693866065
2001,City of Milwaukee,6,51,29100,49756.742262239735
2001,City of Milwaukee,7,23,32100,54886.30332020259
2001,City of Milwaukee,8,9,47000,80363.12324141813
2001,City of Milwaukee,9,4,25350,43344.79093978616
2001,City of Milwaukee landlord,1,1516,45700,78140.31344963422
2001,City of Milwaukee landlord,10,820,73250,125246.78249859315
2001,City of Milwaukee landlord,11,386,123450,211081.43753517163
2001,City of Milwaukee landlord,12,1594,36750,62837.122960045024
2001,City of Milwaukee landlord,13,384,107300,183467.3005064716
2001,City of Milwaukee landlord,14,1000,86550,147987.8365222285
2001,City of Milwaukee landlord,15,2818,24100,41207.473832301635
2001,City of Milwaukee landlord,2,661,65600,112166.40180078785
2001,City of Milwaukee landlord,3,1040,119950,205096.94963421498
2001,City of Milwaukee landlord,4,365,46100,78824.25492402927
2001,City of Milwaukee landlord,5,429,96700,165342.8514350028
2001,City of Milwaukee landlord,6,2815,29200,49927.7276308385
2001,City of Milwaukee landlord,7,1969,48300,82585.93303320203
2001,City of Milwaukee landlord,8,946,52700,90109.28925154755
2001,City of Milwaukee landlord,9,514,40250,68821.61086100168
2001,bank,1,25,51000,87202.5379853686
2001,bank,10,2,81350,139096.59735509288
2001,bank,11,3,68800,117637.93359594823
2001,bank,12,10,40100,68565.13280810355
2001,bank,13,1,102200,174747.04670793473
2001,bank,14,8,85450,146106.9974676421
2001,bank,15,42,44300,75746.51828925154
2001,bank,2,11,64100,109601.62127180642
2001,bank,3,2,204250,349237.6153629713
2001,bank,4,1,69800,119347.78728193585
2001,bank,5,9,91100,155767.67079347215
2001,bank,6,22,27100,46337.03489026449
2001,bank,7,17,50400,86176.62577377603
2001,bank,8,11,56600,96777.71862689927
2001,bank,9,16,62250,106438.39195272932
2001,outside WI landlord,1,143,45600,77969.32808103546
2001,outside WI landlord,10,62,76800,131316.7630838492
2001,outside WI landlord,11,39,103000,176114.92965672482
2001,outside WI landlord,12,90,39400,67368.23522791221
2001,outside WI landlord,13,36,100600,172011.28081035454
2001,outside WI landlord,14,78,84200,143969.68036015757
2001,outside WI landlord,15,196,35450,60614.31316826112
2001,outside WI landlord,2,77,64300,109943.59200900394
2001,outside WI landlord,3,60,132250,226128.1499718627
2001,outside WI landlord,4,48,88600,151493.0365785031
2001,outside WI landlord,5,84,87650,149868.67557681486
2001,outside WI landlord,6,152,30800,52663.49352841869
2001,outside WI landlord,7,150,50450,86262.11845807542
2001,outside WI landlord,8,60,52100,89083.37703995498
2001,outside WI landlord,9,192,70800,121057.64096792348
2001,owner occupied,1,8212,49700,84979.7281935847
2001,owner occupied,10,8566,85000,145337.56330894766
2001,owner occupied,11,10376,106600,182270.40292628025
2001,owner occupied,12,3852,41900,71642.86944288126
2001,owner occupied,13,9648,102500,175260.00281373103
2001,owner occupied,14,9588,89400,152860.9195272932
2001,owner occupied,15,4587,29600,50611.669105233545
2001,owner occupied,2,8096,67100,114731.18232976928
2001,owner occupied,3,4266,142600,243825.13562183455
2001,owner occupied,4,1238,95400,163120.04164321892
2001,owner occupied,5,10322,90000,153886.83173888578
2001,owner occupied,6,5373,32900,56254.186268992686
2001,owner occupied,7,8350,57600,98487.5723128869
2001,owner occupied,8,5522,61500,105156.00168823861
2001,owner occupied,9,6875,83500,142772.78277996625
2001,owner occupied,NA,3,36100,61725.71806415307
2001,rest of Wisconsin landlord,1,131,49600,84808.74282498594
2001,rest of Wisconsin landlord,10,88,76200,130290.85087225662
2001,rest of Wisconsin landlord,11,49,118800,203130.61789532923
2001,rest of Wisconsin landlord,12,111,40100,68565.13280810355
2001,rest of Wisconsin landlord,13,38,105250,179962.10045019697
2001,rest of Wisconsin landlord,14,110,84750,144910.09988745075
2001,rest of Wisconsin landlord,15,79,26200,44798.166572875634
2001,rest of Wisconsin landlord,2,58,62650,107122.33342712437
2001,rest of Wisconsin landlord,3,62,134500,229975.32076533482
2001,rest of Wisconsin landlord,4,24,37450,64034.02054023635
2001,rest of Wisconsin landlord,5,68,85400,146021.5047833427
2001,rest of Wisconsin landlord,6,44,28950,49500.26420934159
2001,rest of Wisconsin landlord,7,71,54500,93187.02588632527
2001,rest of Wisconsin landlord,8,103,55300,94554.90883511536
2001,rest of Wisconsin landlord,9,47,71900,122938.48002250986
2001,suburbs landlord,1,550,46000,78653.26955543051
2001,suburbs landlord,10,612,84250,144055.17304445695
2001,suburbs landlord,11,343,127800,218519.3010692178
2001,suburbs landlord,12,634,38800,66342.32301631964
2001,suburbs landlord,13,217,109900,187912.9200900394
2001,suburbs landlord,14,593,86800,148415.29994372537
2001,suburbs landlord,15,621,27900,47704.917839054586
2001,suburbs landlord,2,450,67200,114902.16769836804
2001,suburbs landlord,3,464,122800,209970.03263927967
2001,suburbs landlord,4,161,41400,70787.94259988745
2001,suburbs landlord,5,465,97400,166539.74901519416
2001,suburbs landlord,6,507,29000,49585.75689364097
2001,suburbs landlord,7,692,54100,92503.08441193022
2001,suburbs landlord,8,505,53600,91648.15756893641
2001,suburbs landlord,9,581,61000,104301.0748452448
2001,NA,1,1,30500,52150.5374226224
2001,NA,10,1,63500,108575.70906021385
2001,NA,11,1,112600,192529.52504220596
2001,NA,12,1,37400,63948.527855936976
2001,NA,14,1,139300,238182.61845807542
2001,NA,3,2,86900,148586.28531232415
2001,NA,4,2,152750,261180.15053460893
2001,NA,6,5,34200,58476.99606077659
2001,NA,7,1,65300,111653.44569499156
2002,City of Milwaukee,1,15,55300,93554.60634743876
2002,City of Milwaukee,10,6,76550,129504.61330734967
2002,City of Milwaukee,11,1,98700,166977.2087973274
2002,City of Milwaukee,12,10,29500,49907.068485523385
2002,City of Milwaukee,14,2,100900,170699.09187082405
2002,City of Milwaukee,15,95,23500,39756.47828507795
2002,City of Milwaukee,2,8,80650,136440.8499443207
2002,City of Milwaukee,3,1,37500,63441.188752783964
2002,City of Milwaukee,4,3,65900,111487.31570155903
2002,City of Milwaukee,5,3,82900,140247.32126948776
2002,City of Milwaukee,6,64,32450,54897.775334075726
2002,City of Milwaukee,7,31,34700,58704.246659242766
2002,City of Milwaukee,8,6,53450,90424.84103563474
2002,City of Milwaukee,9,8,84300,142615.79231625836
2002,City of Milwaukee landlord,1,1498,52450,88733.07600222717
2002,City of Milwaukee landlord,10,817,86200,145830.14587973274
2002,City of Milwaukee landlord,11,369,137500,232617.6920935412
2002,City of Milwaukee landlord,12,1577,40700,68854.83685968819
2002,City of Milwaukee landlord,13,345,120500,203857.6865256125
2002,City of Milwaukee landlord,14,1001,98000,165792.9732739421
2002,City of Milwaukee landlord,15,2787,27200,46016.00890868597
2002,City of Milwaukee landlord,2,669,74600,126205.6714922049
2002,City of Milwaukee landlord,3,1044,152700,258332.52060133632
2002,City of Milwaukee landlord,4,376,68950,116647.19905345212
2002,City of Milwaukee landlord,5,441,108000,182710.62360801784
2002,City of Milwaukee landlord,6,2768,35600,60226.83518930958
2002,City of Milwaukee landlord,7,1986,57050,96515.19515590201
2002,City of Milwaukee landlord,8,943,61900,104720.25556792873
2002,City of Milwaukee landlord,9,521,45300,76636.95601336303
2002,bank,1,22,52400,88648.4877505568
2002,bank,10,5,59100,99983.31347438753
2002,bank,11,3,107000,181018.85857461026
2002,bank,12,11,44800,75791.07349665924
2002,bank,13,2,121850,206141.5693207127
2002,bank,14,9,96500,163255.32572383073
2002,bank,15,45,46700,79005.42706013363
2002,bank,2,13,87800,148536.96993318485
2002,bank,3,2,246050,416258.7864699332
2002,bank,5,10,88000,148875.3229398664
2002,bank,6,29,33900,57350.83463251671
2002,bank,7,30,59700,100998.37249443207
2002,bank,8,19,60700,102690.13752783964
2002,bank,9,7,102000,172560.0334075724
2002,outside WI landlord,1,145,53700,90847.78229398665
2002,outside WI landlord,10,61,96800,163762.855233853
2002,outside WI landlord,11,36,115700,195737.21436525614
2002,outside WI landlord,12,89,46000,77821.19153674833
2002,outside WI landlord,13,35,111300,188293.4482182628
2002,outside WI landlord,14,82,100000,169176.50334075725
2002,outside WI landlord,15,165,34600,58535.07015590201
2002,outside WI landlord,2,69,69500,117577.66982182629
2002,outside WI landlord,3,65,197300,333785.24109131406
2002,outside WI landlord,4,54,129750,219506.51308463252
2002,outside WI landlord,5,83,94900,160548.50167037864
2002,outside WI landlord,6,164,36150,61157.30595768374
2002,outside WI landlord,7,165,55100,93216.25334075725
2002,outside WI landlord,8,64,63000,106581.19710467706
2002,outside WI landlord,9,199,80900,136863.7912026726
2002,owner occupied,1,8209,58100,98291.54844097995
2002,owner occupied,10,8541,97800,165454.6202672606
2002,owner occupied,11,10392,119100,201489.21547884188
2002,owner occupied,12,3863,46800,79174.60356347439
2002,owner occupied,13,9672,113000,191169.44877505567
2002,owner occupied,14,9572,100500,170022.38585746102
2002,owner occupied,15,4592,34900,59042.59966592428
2002,owner occupied,2,8101,78400,132634.3786191537
2002,owner occupied,3,4303,171400,289968.5267260579
2002,owner occupied,4,1259,138400,234140.28062360804
2002,owner occupied,5,10332,104000,175943.56347438754
2002,owner occupied,6,5394,39300,66486.3658129176
2002,owner occupied,7,8303,65900,111487.31570155903
2002,owner occupied,8,5507,73900,125021.4359688196
2002,owner occupied,9,6906,94500,159871.7956570156
2002,owner occupied,NA,3,40900,69193.1898663697
2002,rest of Wisconsin landlord,1,132,49400,83573.19265033408
2002,rest of Wisconsin landlord,10,91,87600,148198.61692650334
2002,rest of Wisconsin landlord,11,56,126900,214684.98273942096
2002,rest of Wisconsin landlord,12,121,44000,74437.66146993318
2002,rest of Wisconsin landlord,13,47,111400,188462.62472160358
2002,rest of Wisconsin landlord,14,103,92100,155811.55957683743
2002,rest of Wisconsin landlord,15,77,28200,47707.77394209354
2002,rest of Wisconsin landlord,2,66,70550,119354.02310690423
2002,rest of Wisconsin landlord,3,57,159000,268990.640311804
2002,rest of Wisconsin landlord,4,35,65400,110641.43318485524
2002,rest of Wisconsin landlord,5,58,93000,157334.14810690423
2002,rest of Wisconsin landlord,6,57,34700,58704.246659242766
2002,rest of Wisconsin landlord,7,77,60700,102690.13752783964
2002,rest of Wisconsin landlord,8,100,64550,109203.4329064588
2002,rest of Wisconsin landlord,9,38,66200,111994.8452115813
2002,suburbs landlord,1,557,52900,89494.37026726059
2002,suburbs landlord,10,631,95900,162240.2667037862
2002,suburbs landlord,11,341,138400,234140.28062360804
2002,suburbs landlord,12,622,44000,74437.66146993318
2002,suburbs landlord,13,224,119300,201827.5684855234
2002,suburbs landlord,14,618,98650,166892.620545657
2002,suburbs landlord,15,604,31950,54051.89281737194
2002,suburbs landlord,2,449,75500,127728.26002227172
2002,suburbs landlord,3,501,162500,274911.8179287305
2002,suburbs landlord,4,146,62000,104889.43207126949
2002,suburbs landlord,5,467,111100,187955.0952115813
2002,suburbs landlord,6,525,34800,58873.423162583524
2002,suburbs landlord,7,684,60450,102267.19626948776
2002,suburbs landlord,8,503,65000,109964.72717149221
2002,suburbs landlord,9,579,59800,101167.54899777283
2002,NA,1,2,27700,46861.89142538975
2002,NA,10,1,76200,128912.49554565702
2002,NA,12,1,47000,79512.9565701559
2002,NA,14,1,151100,255625.6965478842
2002,NA,3,2,106900,180849.6820712695
2002,NA,4,3,151600,256471.57906458798
2002,NA,6,4,51550,87210.48747216036
2003,City of Milwaukee,1,5,44300,73512.59584926271
2003,City of Milwaukee,15,1,28300,46961.77116329875
2003,City of Milwaukee,6,6,38050,63141.179956308035
