year,owner_type2,aldermanic,parcels,median_value,median_value_adj
1990,suburbs landlord,9,363,49600,116016.27097767513
1990,suburbs landlord,NA,2,61100,142915.20477290225
1990,NA,11,3,81300,190163.76674364894
1990,NA,12,4,28950,67715.14203233257
1990,NA,14,5,54800,128179.26712856043
1990,NA,15,5,20000,46780.75442648191
1990,NA,2,2,55700,130284.40107775212
1990,NA,3,2,135600,317173.51501154737
1990,NA,5,1,51000,119290.92378752887
1990,NA,7,2,46050,107712.68706697458
1990,NA,8,2,32300,75550.91839876829
1991,City of Milwaukee,1,9,31800,71045.175
1991,City of Milwaukee,12,5,18200,40661.075000000004
1991,City of Milwaukee,14,1,49300,110142.3625
1991,City of Milwaukee,15,68,18700,41778.137500000004
1991,City of Milwaukee,3,2,22350,49932.693750000006
1991,City of Milwaukee,6,39,19200,42895.200000000004
1991,City of Milwaukee,7,14,26800,59874.55
1991,City of Milwaukee,8,3,33000,73726.125
1991,City of Milwaukee landlord,1,1322,35300,78864.6125
1991,City of Milwaukee landlord,10,1059,47700,106567.76250000001
1991,City of Milwaukee landlord,11,484,74550,166554.01875
1991,City of Milwaukee landlord,12,1518,28800,64342.8
1991,City of Milwaukee landlord,13,478,67900,151697.08750000002
1991,City of Milwaukee landlord,14,1146,50000,111706.25
1991,City of Milwaukee landlord,15,3735,20900,46693.2125
1991,City of Milwaukee landlord,2,635,50000,111706.25
1991,City of Milwaukee landlord,3,1125,67000,149686.375
1991,City of Milwaukee landlord,4,479,25700,57417.012500000004
1991,City of Milwaukee landlord,5,577,66300,148122.48750000002
1991,City of Milwaukee landlord,6,3130,21100,47140.037500000006
1991,City of Milwaukee landlord,7,1928,35100,78417.7875
1991,City of Milwaukee landlord,8,985,39100,87354.2875
1991,City of Milwaukee landlord,9,716,51300,114610.6125
1991,bank,1,9,33700,75290.01250000001
1991,bank,10,2,46100,102993.1625
1991,bank,11,1,42000,93833.25
1991,bank,12,12,31100,69481.2875
1991,bank,13,1,43900,98078.08750000001
1991,bank,14,5,35800,79981.675
1991,bank,15,33,23000,51384.875
1991,bank,2,8,48900,109248.71250000001
1991,bank,3,2,98200,219391.075
1991,bank,4,3,49500,110589.1875
1991,bank,5,2,81500,182081.1875
1991,bank,6,20,20550,45911.26875
1991,bank,7,19,34900,77970.96250000001
1991,bank,8,4,42850,95732.25625
1991,bank,9,4,60500,135164.5625
1991,outside WI landlord,1,128,39500,88247.9375
1991,outside WI landlord,10,81,52900,118185.21250000001
1991,outside WI landlord,11,37,69800,155941.92500000002
1991,outside WI landlord,12,49,29300,65459.8625
1991,outside WI landlord,13,38,63250,141308.40625
1991,outside WI landlord,14,70,55250,123435.40625000001
1991,outside WI landlord,15,121,25100,56076.537500000006
1991,outside WI landlord,2,58,47300,105674.1125
1991,outside WI landlord,3,88,65750,146893.71875
1991,outside WI landlord,4,31,36600,81768.975
1991,outside WI landlord,5,82,61650,137733.80625000002
1991,outside WI landlord,6,135,21700,48480.512500000004
1991,outside WI landlord,7,143,43400,96961.02500000001
1991,outside WI landlord,8,56,42050,93944.95625
1991,outside WI landlord,9,112,49000,109472.125
1991,owner occupied,1,8665,36300,81098.7375
1991,owner occupied,10,8481,51600,115280.85
1991,owner occupied,11,10336,67700,151250.2625
1991,owner occupied,12,4106,30200,67470.575
1991,owner occupied,13,9487,64200,143430.825
1991,owner occupied,14,9652,53300,119078.8625
1991,owner occupied,15,4785,24400,54512.65
1991,owner occupied,2,8201,47200,105450.70000000001
1991,owner occupied,3,4217,78500,175378.8125
1991,owner occupied,4,811,42800,95620.55
1991,owner occupied,5,10094,58400,130472.90000000001
1991,owner occupied,6,5733,25600,57193.600000000006
1991,owner occupied,7,8793,39200,87577.70000000001
1991,owner occupied,8,5512,42800,95620.55
1991,owner occupied,9,6696,56200,125557.82500000001
1991,owner occupied,NA,4,21050,47028.33125
1991,rest of Wisconsin landlord,1,108,32250,72050.53125
1991,rest of Wisconsin landlord,10,85,46300,103439.9875
1991,rest of Wisconsin landlord,11,39,67000,149686.375
1991,rest of Wisconsin landlord,12,113,28200,63002.325000000004
1991,rest of Wisconsin landlord,13,33,60800,135834.80000000002
1991,rest of Wisconsin landlord,14,76,48850,109137.00625
1991,rest of Wisconsin landlord,15,131,21400,47810.275
1991,rest of Wisconsin landlord,2,67,45700,102099.51250000001
1991,rest of Wisconsin landlord,3,40,78900,176272.46250000002
1991,rest of Wisconsin landlord,4,14,20250,45241.03125
1991,rest of Wisconsin landlord,5,56,57350,128127.06875
1991,rest of Wisconsin landlord,6,61,24200,54065.825000000004
1991,rest of Wisconsin landlord,7,115,33000,73726.125
1991,rest of Wisconsin landlord,8,76,42600,95173.725
1991,rest of Wisconsin landlord,9,41,45600,101876.1
1991,suburbs landlord,1,393,36600,81768.975
1991,suburbs landlord,10,480,52200,116621.32500000001
1991,suburbs landlord,11,264,78200,174708.575
1991,suburbs landlord,12,631,30400,67917.40000000001
1991,suburbs landlord,13,198,64000,142984
1991,suburbs landlord,14,418,51050,114052.08125
1991,suburbs landlord,15,703,24000,53619
1991,suburbs landlord,2,377,48800,109025.3
1991,suburbs landlord,3,272,57700,128909.01250000001
1991,suburbs landlord,4,80,30600,68364.225
1991,suburbs landlord,5,378,70000,156388.75
1991,suburbs landlord,6,375,20900,46693.2125
1991,suburbs landlord,7,473,41900,93609.83750000001
1991,suburbs landlord,8,520,40500,90482.0625
1991,suburbs landlord,9,355,49700,111036.01250000001
1991,suburbs landlord,NA,2,61100,136505.0375
1991,NA,11,5,72600,162197.475
1991,NA,12,1,23200,51831.700000000004
1991,NA,13,3,79900,178506.58750000002
1991,NA,14,1,54800,122430.05
1991,NA,15,1,14100,31501.162500000002
1991,NA,2,3,41700,93163.01250000001
1991,NA,3,1,57600,128685.6
1991,NA,5,2,55300,123547.1125
1991,NA,6,1,25200,56299.950000000004
1991,NA,7,1,30000,67023.75
1991,NA,8,1,29100,65013.037500000006
1992,City of Milwaukee,1,6,30000,65062.31263383298
1992,City of Milwaukee,10,1,35400,76773.52890792293
1992,City of Milwaukee,12,4,25250,54760.779800142765
1992,City of Milwaukee,15,37,19600,42507.37758743755
1992,City of Milwaukee,4,1,21200,45977.367594575306
1992,City of Milwaukee,6,19,20100,43591.7494646681
1992,City of Milwaukee,7,5,19100,41423.005710207
1992,City of Milwaukee,8,2,36600,79376.02141327623
1992,City of Milwaukee,9,1,30500,66146.68451106353
1992,City of Milwaukee landlord,1,1349,34900,75689.15703069237
1992,City of Milwaukee landlord,10,1033,49500,107352.81584582443
1992,City of Milwaukee landlord,11,474,85100,184560.09350463958
1992,City of Milwaukee landlord,12,1503,29100,63110.443254818
1992,City of Milwaukee landlord,13,449,76200,165258.2740899358
1992,City of Milwaukee landlord,14,1126,56750,123076.2080656674
1992,City of Milwaukee landlord,15,3689,20100,43591.7494646681
1992,City of Milwaukee landlord,2,631,52600,114075.92148465384
1992,City of Milwaukee landlord,3,1115,72000,156149.55032119917
